timestamp,actual_price,q10,q50,q90
2025-10-02 04:00:00,21.5925,15.891,19.4925,23.82325
2025-10-02 05:00:00,23.4875,18.353,22.2425,31.16
2025-10-02 06:00:00,29.605,20.2725,23.67875,32.623750000000015
2025-10-02 07:00:00,34.09,21.90475,28.02,43.36375
2025-10-02 08:00:00,20.255,18.674,26.635,38.005250000000004
2025-10-02 09:00:00,20.8725,14.320250000000001,19.405,23.428000000000004
2025-10-02 10:00:00,22.2675,14.9175,20.0025,24.989250000000002
2025-10-02 11:00:00,24.92,17.727999999999998,22.07125,28.186750000000007
2025-10-02 12:00:00,29.8525,20.814,24.75875,34.462250000000004
2025-10-02 13:00:00,34.045,22.795749999999998,29.51375,44.5625
2025-10-02 14:00:00,37.455,23.93975,32.12125,46.745
2025-10-02 15:00:00,35.61,27.047,38.98625,60.72050000000001
2025-10-02 16:00:00,34.7075,24.5675,36.427499999999995,60.0355
2025-10-02 17:00:00,45.3325,24.815250000000002,37.92,66.32850000000002
2025-10-02 18:00:00,72.1925,34.28175,55.44625,95.37325000000004
2025-10-02 19:00:00,63.269999999999996,37.425000000000004,64.0275,123.46850000000005
2025-10-02 20:00:00,28.6325,29.779999999999998,52.15375,98.21300000000002
2025-10-02 21:00:00,24.650000000000002,20.616,25.84,45.86375000000001
2025-10-02 22:00:00,24.2,18.3775,22.88875,30.028
2025-10-02 23:00:00,23.835,18.872,22.706249999999997,27.054750000000002
2025-10-03 00:00:00,21.872500000000002,19.058249999999997,22.6275,26.6955
2025-10-03 01:00:00,21.215,17.47425,21.2225,25.01250000000001
2025-10-03 02:00:00,21.515,16.626250000000002,20.2775,23.76075
2025-10-03 03:00:00,21.73,17.2425,20.9325,25.235250000000004
2025-10-03 04:00:00,21.817500000000003,18.4765,22.08625,27.389250000000008
2025-10-03 05:00:00,27.475,19.370749999999997,22.39375,27.64925000000001
2025-10-03 06:00:00,35.59,22.603,27.8275,38.04
2025-10-03 07:00:00,45.1225,22.885,32.0625,47.6
2025-10-03 08:00:00,24.5425,19.25,28.49125,48.4625
2025-10-03 09:00:00,21.622500000000002,17.615000000000002,22.46,29.985000000000007
2025-10-03 10:00:00,25.62,17.122,21.52625,28.76275
2025-10-03 11:00:00,29.0,19.84075,24.55,33.925000000000004
2025-10-03 12:00:00,31.975,22.099500000000003,29.8525,41.88725000000001
2025-10-03 13:00:00,37.335,23.284499999999998,30.68,44.883500000000005
2025-10-03 14:00:00,31.6725,24.9705,36.504999999999995,58.218500000000006
2025-10-03 15:00:00,32.155,24.30525,34.75625,55.69525
2025-10-03 16:00:00,28.814999999999998,23.5195,35.295,59.959
2025-10-03 17:00:00,30.4525,24.4525,36.46875,63.72900000000004
2025-10-03 18:00:00,48.6075,26.265249999999998,45.613749999999996,81.86375000000001
2025-10-03 19:00:00,39.66,33.36,55.08,101.14350000000002
2025-10-03 20:00:00,28.305,25.95125,36.45,63.2825
2025-10-03 21:00:00,24.4925,20.9675,24.965,34.142250000000004
2025-10-03 22:00:00,24.415,19.01875,22.58625,26.898
2025-10-03 23:00:00,23.595,19.020500000000002,22.6,26.43975
2025-10-04 00:00:00,24.5325,18.6595,22.2525,25.665500000000005
2025-10-04 01:00:00,22.9775,18.78425,22.42375,26.46425
2025-10-04 02:00:00,21.56,18.4085,21.8825,26.027250000000013
2025-10-04 03:00:00,22.0125,17.8145,21.213749999999997,24.15775
2025-10-04 04:00:00,21.335,18.533,21.8675,25.768749999999997
2025-10-04 05:00:00,23.807499999999997,18.05,21.7,25.87575
2025-10-04 06:00:00,25.015,18.869500000000002,23.432499999999997,30.053750000000004
2025-10-04 07:00:00,25.3725,19.695,24.015,32.87625000000003
2025-10-04 08:00:00,17.0825,17.932,22.94625,28.450000000000003
2025-10-04 09:00:00,5.885,13.4285,17.945,22.362000000000002
2025-10-04 10:00:00,-0.46499999999999997,4.0805,14.39875,20.862
2025-10-04 11:00:00,0.19,0.0022500000000000055,11.57125,20.613750000000003
2025-10-04 12:00:00,11.2225,0.0022500000000000055,12.65,22.400000000000013
2025-10-04 13:00:00,16.752499999999998,7.68325,16.0075,26.050750000000004
2025-10-04 14:00:00,17.1725,10.83525,19.10625,27.904500000000017
2025-10-04 15:00:00,14.932500000000001,14.039,20.2225,31.44525000000001
2025-10-04 16:00:00,14.4475,13.4375,20.485,31.205000000000005
